D10;887,885;188,913;37,979;103,403
D09;783,356;306,176;136,384;68,192
D08;785,637;511,766;118,132;72,502
D07;859,651;597,955;42,288;103,625
D06;853,653;714,102;42,288;103,625
D05;852,833;868,435;105,676;100,406
D04;840,101;982,157;42,288;103,625
D03;834,103;1098,303;42,288;103,625
D02;828,105;1214,449;42,288;103,625
D01;822,106;1330,596;42,288;103,625
C07;970,44;101,346;117,879;117,879
C06;946,865;478,05;94,303;94,303
C04;970,44;690,232;117,879;117,879
C03;976,869;963,881;63,496;95,124
C02;976,869;1106,808;63,496;95,365
C01;976,869;1249,736;63,496;95,365
B06;1052,829;183,988;141,454;141,454
B05/C05;1052,829;584,268;141,454;141,454
B04;1099,033;892,418;63,496;95,365
B03;1099,033;1035,345;63,496;95,365
B02;1099,033;1178,272;63,496;95,365
B01;1099,033;1321,199;63,496;95,365
A11;1241,942;42,026;94,303;94,556
A12;1439,933;47,168;89,812;298,409
A10;1159,046;124,921;94,303;94,303
A09;1204,423;244,575;117,879;117,879
A08;1206,705;477,797;94,303;94,303
A07;1159,046;525,202;94,303;94,303
A06;1159,046;690,232;117,879;117,879
A05;1439,933;591,595;89,812;298,409
A04;1263,447;802,847;95,365;95,124
A03;1220,703;963,881;63,496;95,124
A02;1220,703;1106,808;63,496;95,365
A01;1220,703;1249,736;63,496;95,365
