D12;493,09;126,18;84,23;103,05
D10;577,32;126,18;89,58;103,05
D08;666,91;126,18;44,75;103,05
D06;771,55;126,18;122,44;103,05
D04;893,987;126,183;98,414;268,324
D02;1183,15;127,92;101,31;144,15
D03;771,84;291,75;71,21;102,76
D01;843,04;291,75;69,18;102,76
D07;493,67;292,33;105,65;101,6
D05;599,32;292,33;112,02;101,6
E01/F02/F01/G02;494;423,162;418,223;95,809
E02;394,39;600,019;110,282;118,676
E04;394,39;718,695;110,282;101,888
E06;394,39;820,583;110,282;85,099
E08;394,39;905,68;96,39;204,07
E10;394,39;1109,75;96,39;136,04
E12;394,39;1245,79;96,39;210,43
E03;542,879;571,652;55,286;119,545
E05;553,01;691,197;67,732;136,333
E03;542,879;827,529;72,363;156,884
E09/F14;542,879;1051,567;86,836;77,863
E11;542,879;1129,43;88,862;92,336
E13;542,879;1221,766;88,862;94,941
E15;542,879;1316,707;88,862;61,075
E14;589,34;1421,38;100,73;41,04
F04;594,113;571,652;67,443;133,728
F06;600,87;705,38;100,92;97,984
F08;600,87;803,364;107,577;69,321
F10;592,955;872,684;86,836;52,681
F12;592,955;925,365;58,181;59,049
F16;631,742;1138,692;82,784;178,014
F18;631,742;1316,707;82,784;61,075
F03;707;571,652;87,415;74,1
F05;707;659,646;83,363;99,717
F07;718,86;737,365;71,502;78,297
G04;794,415;571,652;105,651;74,1
F09;804,256;724,773;55,575;114,551
G06;873,725;588,73;56,733;167,015
G08;873,725;755,745;56,733;83,58
F15;666,476;917,55;47,181;150,805
F17;665,029;1081,96;117,229;82,205
F19;682,975;1081,96;99,862;130,254
F13;729,288;871,816;63,68;132,28
F11;792,968;880,789;70,048;123,307
G12;796,441;1017,99;51,233;161,204
G10;847,674;906,84;92,625;175,409
G15;776,76;1429,3;101,89;95,23
F21;755,338;1234,212;127,07;94,651
F23;759,391;1328,864;64,548;48,918
G14;807,44;1119,878;74,969;178,014
G18;823,939;1308,023;95,52;69,758
G16;882,409;1116,115;52,391;238,51
G01;969,245;491,763;120,413;142,99
G03;969,245;703,064;135,754;134,164
G05;992,401;908,287;124,755;134,307
G07;969,245;1111,773;135,754;117,808
G09;969,245;1229,581;119,544;101,598
G11;969,245;1331,179;119,544;105,361
G13;903,25;1429,304;185,54;96,099
H20;1104,999;737,365;103,046;99,864
H18;1207,755;737,365;115,492;82,929
H16;1323,247;737,365;83,652;83,507
H14;1406,899;737,365;168,462;101,454
H13;1117,156;875;117,229;93,494
H11;1234,385;875;123,307;93,494
H09;1357,692;875;68,022;93,494
H07;1425,714;880,789;69,179;87,705
H01;1117,156;982,387;83,942;90,889
H03;1201,098;982,387;127,36;93,783
H05;1328,457;982,387;166,725;93,783
H02;1104,999;1111,773;105,94;101,019
H04;1210,939;1133,225;86,836;79,568
H06;1297,775;1112,352;221,866;100,441
H08;1519,642;1112,352;54,562;164,699
H10;1519,642;1212,793;180,185;208,442
H12;1571,599;787,585;126,781;378,606
